,dir/5WEKPBBWFKF47XDYW5QBC36KFVBYJFE5.pdf,dir/IM4NOHWT2KSDC4FBCAXQW722XG3AZCNP.pdf,dir/CS4O7BCLPRK6J5MKIK7BPBFC2UURCM7X.pdf,dir/HGJIJLL3ZVEO2ISTFZSKH53BIC2K3UYX.pdf,dir/BNAB3PKSEPVY6LVEMD6PZQXWXMDDTQ7U.pdf,dir/KAI53AEUTC4X3GRV6WZDEZUWVEYPTPPU.pdf,dir/6RWOLVNDX4CTI4PAGDGMWC3FFBTVW3TK.pdf,dir/LFGBSD5XRLBIZCRBVWTKQPP2JEVRWRRS.pdf,dir/EKWVDOMQ3BRDHPPTHV47A37AY2NUS7XK.pdf,dir/6A2V6MYYSW4C6QUKXJX7BEGNPYKZGV6O.pdf
prolifer,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
threat,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
carri,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
tx,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dwyer,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kaptur,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pickl,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
skagg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wheat,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
set,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
annunzio,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dymal,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kasich,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
porter,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
skeen,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
whitten,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
archer,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
earli,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
kennedi,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
price,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
skelton,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
william,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
forth,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
follow,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
aspin,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eckart,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kennelli,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spent,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
pursel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slatteri,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wilson,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
atkin,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
edward,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ca,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kilde,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ramstad,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slaughter,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wise,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aucoin,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ok,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kleczka,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rangel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smith,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wolf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
descript,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
particip,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
bacchu,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emerson,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
klug,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ravenel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ia,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wolp,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
depart,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
partici,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
