,dir/5WEKPBBWFKF47XDYW5QBC36KFVBYJFE5.pdf,dir/IM4NOHWT2KSDC4FBCAXQW722XG3AZCNP.pdf,dir/CS4O7BCLPRK6J5MKIK7BPBFC2UURCM7X.pdf,dir/HGJIJLL3ZVEO2ISTFZSKH53BIC2K3UYX.pdf,dir/BNAB3PKSEPVY6LVEMD6PZQXWXMDDTQ7U.pdf,dir/KAI53AEUTC4X3GRV6WZDEZUWVEYPTPPU.pdf,dir/6RWOLVNDX4CTI4PAGDGMWC3FFBTVW3TK.pdf,dir/LFGBSD5XRLBIZCRBVWTKQPP2JEVRWRRS.pdf,dir/EKWVDOMQ3BRDHPPTHV47A37AY2NUS7XK.pdf,dir/6A2V6MYYSW4C6QUKXJX7BEGNPYKZGV6O.pdf
"('jones', 'peterson')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('peterson', 'fl')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('fl', 'sikorski')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('sikorski', 'weiss')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('weiss', 're')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('re', 'andrews')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('andrews', 'me')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('me', 'durbin')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('durbin', 'kanjorski')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('kanjorski', 'mn')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('mn', 'sisisky')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('sisisky', 'weldon')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('weldon', 'duce')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('duce', 'nuclear')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('nuclear', 'proliferation')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('proliferation', 'threat')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('threat', 'carried')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('carried', 'tx')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('tx', 'dwyer')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
